SMILES,Name,Cluster
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101316580,2
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1c(Cl)cccc1Cl,101303825,5
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,101312609,5
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32507002,5
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1)C1CC1,101104076,5
CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1,32634577,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)cc1,101301367,5
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1Cl,101308830,5
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1Cl,101308837,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,101301371,5
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101303281,2
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1Cl,101299104,2
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1Cl,101316300,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1)[C@H]1CCCO1,105349850,5
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,101104071,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,101319243,5
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1Cl,101308826,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1)[C@@H]1CCCO1,15894449,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,101319245,5
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101317005,2
O=C(COc1ccccc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,101310876,5
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1Cl,101316301,5
O=C(COc1ccccc1)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,5302785,5
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(C(F)(F)F)c1,101311449,5
CCC(CC)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCO2,101318033,5
